datetime,Avg_ActiveHeartRate
11/07/19 09:26:57,108
11/09/19 08:30:45,177
11/15/19 13:08:56,103
11/16/19 13:10:19,101
11/16/19 15:16:37,93
11/17/19 08:39:39,113
11/18/19 05:11:52,171
11/22/19 05:08:19,123
11/22/19 15:43:02,99
11/24/19 19:20:53,92
11/25/19 05:09:32,172
11/25/19 13:03:21,106
11/27/19 05:13:05,119
11/27/19 05:27:16,169
11/29/19 05:01:39,175
12/02/19 05:53:58,106
12/04/19 14:23:01,104
12/06/19 09:57:37,170
12/06/19 10:21:46,122
12/06/19 12:18:40,109
12/07/19 11:50:13,102
12/07/19 18:28:47,97
12/08/19 18:19:56,103
12/09/19 13:39:41,115
12/10/19 09:18:26,104
12/11/19 16:30:44,111
12/12/19 16:11:36,103
12/14/19 16:28:16,96
12/17/19 05:19:05,162
12/17/19 05:49:48,126
12/20/19 11:15:45,97
12/20/19 12:10:22,96
12/20/19 14:14:58,94
12/21/19 10:34:30,101
01/10/20 05:17:20,175
01/10/20 21:04:34,105
01/11/20 13:22:30,106
01/11/20 14:22:14,101
01/12/20 12:27:30,107
01/12/20 14:03:05,106
01/13/20 05:24:44,174
01/15/20 12:40:04,105
01/16/20 17:17:55,100
01/16/20 19:02:02,110
01/17/20 10:47:40,101
01/17/20 12:58:14,107
01/17/20 16:11:06,99
01/18/20 08:28:13,99
01/18/20 11:01:50,98
01/18/20 12:50:13,99
01/18/20 14:01:03,100
01/18/20 15:28:06,95
01/18/20 18:51:13,105
01/19/20 10:31:45,113
01/19/20 11:43:26,95
01/19/20 13:22:26,104
01/19/20 15:00:35,98
01/23/20 15:58:42,99
01/25/20 10:48:05,98
01/25/20 13:44:44,104
01/26/20 12:31:47,106
01/26/20 14:52:35,105
01/27/20 06:03:06,119
01/27/20 15:17:01,117
01/27/20 20:08:52,107
01/28/20 16:37:40,112
01/29/20 05:30:48,123
01/29/20 10:45:42,106
01/29/20 18:27:21,100
01/31/20 18:19:40,106
02/01/20 10:41:51,84
02/01/20 13:17:09,102
02/01/20 14:27:08,99
02/02/20 12:51:58,105
02/02/20 14:07:03,100
02/03/20 13:59:48,107
02/04/20 14:07:54,98
02/05/20 05:30:21,129
02/05/20 18:02:09,104
02/07/20 05:32:56,123
02/07/20 15:30:29,98
02/08/20 10:00:41,98
02/10/20 05:25:04,118
02/11/20 13:38:44,103
02/11/20 16:00:23,107
02/12/20 05:26:47,143
02/12/20 20:02:19,95
02/18/20 16:28:15,103
02/19/20 18:17:55,99
02/22/20 11:56:56,99
02/23/20 09:11:51,103
02/23/20 10:42:18,102
02/25/20 05:28:30,129
